,pc1,pc2,quality
0,0.3667977805824441,-2.8342354784400636,8
1,-1.2222360482587418,1.024580583985499,6
2,-1.0864670274933208,0.44567108781037157,6
3,0.6626465615385841,1.7984297054385812,5
4,-0.692987791118437,0.33118816529308986,6
5,-0.9992697072876873,0.45968461173567554,6
6,0.24698338589531293,-1.0477993889703157,6
7,-3.6510617325442674,-1.611019221831869,6
8,-1.530120581725101,-0.6725576528203939,5
9,-0.779240004816925,0.105566424968616,6
10,1.397656946265809,1.0601015405520247,6
11,2.4401089464344,-1.372941533127124,5
12,-0.6388502975691774,1.3007617751775966,5
13,-0.26155188537458524,-2.289813230902182,8
14,-3.72971455039095,-0.7099082273314818,6
15,-0.31337436904787064,1.226758115148361,6
16,2.1145623589511584,-1.6020286409099151,7
17,-1.1106706551578633,-2.6445189269641087,6
18,3.0473687296794325,-0.9044506434006611,6
19,-2.872568549548656,-1.145675575475542,6
20,2.0434525339058816,-1.2636658924652306,5
21,-0.7094106270910193,2.001449565153241,6
22,0.6106079223160805,-0.6363368324247651,5
23,2.293398907604623,-0.5185041006398405,6
24,1.9045370969677728,2.551090251733901,5
25,2.294644679436664,-0.6447380060765506,5
26,-2.3174220758472996,-0.5703931946648981,4
27,1.0565685728303371,-0.38348018256803357,7
28,-0.24393286157719007,1.0849461193678236,5
29,-1.326231238872751,-0.6584737038187618,6
30,-0.7811988074909862,0.6774886917019666,5
31,-0.9104035817775656,-0.7723556885750288,6
32,-0.03005236969005793,0.5881977066641297,5
33,-0.42671490077769003,-1.394965755482145,7
34,-1.6363229620014925,-0.8445144623457272,7
35,0.2352426489541628,1.9096382362788675,6
36,-2.5076861866162723,-0.6340661401894755,6
37,1.576087932028,5.351071537631234,5
38,-2.423567622831305,-0.05267387968094494,5
39,2.1077036050725746,-2.0059633625069138,7
40,1.189297392530752,2.388270042603572,5
41,2.094398233232552,-1.9668745324829857,7
42,1.3740030516346777,1.7242686919820236,5
43,-1.630454842244632,-0.2812334197608231,5
44,0.19611977799694752,0.11413307755593016,5
45,0.22518458549449297,1.0438013870456064,5
46,0.6600979301575153,1.6427836250592789,4
